[[1], [4, 0], [5, 0, 0], [0, 1, 1, 1], [2, 1, 1, 1, 1], [3, 0, 0, 0, 0, 1]], 0.7302
[[5], [3, 1], [2, 1, 1], [3, 1, 1, 0], [5, 0, 0, 0, 1], [2, 0, 1, 1, 1, 0]], 0.7234
[[1], [1, 1], [5, 1, 0], [4, 1, 0, 0], [4, 0, 1, 1, 1], [2, 1, 0, 1, 0, 1]], 0.7278
[[0], [5, 1], [2, 0, 0], [5, 1, 1, 1], [3, 0, 0, 1, 1], [3, 0, 1, 0, 0, 0]], 0.723
[[1], [2, 0], [1, 1, 1], [2, 0, 0, 1], [2, 0, 0, 1, 1], [2, 0, 0, 1, 0, 1]], 0.7218
[[5], [2, 1], [2, 1, 0], [0, 1, 0, 0], [4, 0, 1, 1, 0], [5, 0, 1, 1, 0, 0]], 0.7322
[[0], [2, 1], [3, 1, 1], [3, 1, 1, 0], [5, 0, 1, 1, 1], [1, 0, 0, 0, 0, 0]], 0.723
[[2], [4, 1], [4, 0, 0], [5, 1, 0, 1], [0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 1]], 0.733
[[2], [0, 0], [4, 1, 0], [4, 0, 1, 1], [0, 0, 1, 0, 0], [1, 1, 0, 1, 1, 1]], 0.725
[[3], [3, 0], [1, 1, 1], [5, 1, 0, 1], [3, 1, 1, 1, 1], [2, 0, 1, 0, 0, 1]], 0.7234
[[3], [4, 1], [5, 0, 1], [3, 1, 1, 0], [5, 1, 0, 0, 1], [2, 1, 0, 0, 0, 1]], 0.7292
[[0], [5, 1], [2, 0, 1], [0, 1, 0, 1], [3, 1, 1, 1, 1], [4, 1, 1, 0, 0, 0]], 0.7216
[[0], [1, 1], [4, 1, 0], [4, 0, 0, 1], [3, 0, 1, 0, 0], [3, 0, 0, 0, 1, 1]], 0.7214
[[0], [4, 1], [3, 1, 0], [2, 0, 0, 0], [1, 0, 1, 1, 0], [2, 1, 1, 0, 0, 1]], 0.7322
[[0], [2, 1], [1, 1, 1], [0, 0, 1, 0], [5, 0, 0, 1, 1], [2, 0, 0, 0, 1, 0]], 0.7238
[[3], [4, 1], [3, 1, 0], [0, 0, 0, 0], [3, 0, 1, 1, 0], [1, 0, 1, 0, 0, 0]], 0.7312
[[3], [4, 1], [0, 1, 1], [0, 0, 1, 0], [5, 0, 0, 0, 1], [2, 1, 0, 1, 1, 1]], 0.7216
[[2], [1, 0], [1, 0, 0], [1, 1, 0, 0], [2, 0, 1, 1, 1], [2, 0, 1, 0, 0, 1]], 0.735
[[3], [0, 1], [5, 1, 0], [3, 1, 1, 1], [4, 1, 0, 0, 0], [3, 1, 1, 1, 0, 0]], 0.7222
[[4], [0, 0], [4, 1, 1], [2, 1, 0, 0], [2, 1, 1, 1, 1], [4, 1, 1, 0, 0, 1]], 0.7352
[[3], [1, 0], [1, 1, 1], [1, 0, 1, 1], [1, 0, 0, 0, 1], [4, 0, 1, 1, 0, 1]], 0.7166
[[2], [0, 1], [2, 0, 0], [5, 1, 0, 1], [3, 0, 1, 0, 0], [4, 1, 0, 0, 0, 1]], 0.732
[[3], [2, 1], [3, 1, 1], [0, 1, 1, 0], [3, 1, 1, 1, 1], [4, 0, 0, 1, 0, 0]], 0.7204
[[1], [1, 0], [2, 1, 1], [5, 0, 0, 0], [4, 1, 0, 0, 0], [2, 0, 0, 0, 0, 0]], 0.743
[[1], [4, 0], [2, 0, 0], [0, 0, 0, 1], [3, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1]], 0.7338
[[1], [0, 0], [4, 0, 0], [4, 0, 0, 0], [5, 1, 1, 0, 0], [5, 0, 0, 0, 0, 0]], 0.7382
[[4], [4, 1], [3, 1, 1], [0, 0, 0, 0], [5, 1, 1, 0, 0], [0, 0, 1, 0, 0, 1]], 0.7284
[[3], [3, 0], [2, 1, 1], [4, 0, 1, 1], [5, 0, 1, 1, 1], [4, 0, 0, 0, 0, 0]], 0.7216
[[3], [1, 0], [3, 0, 1], [5, 0, 0, 0], [2, 0, 0, 1, 1], [4, 0, 1, 0, 1, 0]], 0.7432
[[2], [0, 0], [5, 0, 1], [3, 0, 1, 1], [1, 0, 1, 0, 1], [3, 0, 1, 0, 1, 1]], 0.7282
[[1], [5, 1], [0, 1, 0], [3, 1, 0, 1], [4, 1, 1, 0, 0], [5, 1, 1, 0, 0, 1]], 0.7214
[[0], [5, 0], [5, 0, 1], [4, 1, 1, 1], [5, 1, 1, 1, 0], [0, 1, 0, 0, 0, 0]], 0.741
[[5], [1, 1], [1, 1, 0], [2, 1, 0, 1], [5, 0, 0, 0, 1], [4, 0, 0, 0, 0, 1]], 0.7142
[[4], [4, 1], [1, 0, 1], [1, 1, 0, 0], [4, 0, 0, 1, 0], [4, 1, 0, 1, 0, 0]], 0.7438
[[2], [0, 1], [1, 1, 1], [5, 1, 0, 1], [4, 1, 1, 1, 1], [1, 1, 1, 0, 0, 0]], 0.7134
[[0], [1, 1], [2, 1, 0], [5, 0, 1, 1], [4, 1, 1, 0, 1], [2, 0, 0, 1, 0, 1]], 0.7106
[[3], [4, 1], [0, 1, 0], [2, 1, 0, 1], [4, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0]], 0.7274
[[0], [3, 0], [5, 1, 0], [4, 0, 0, 1], [5, 1, 0, 1, 0], [3, 0, 1, 0, 0, 0]], 0.7396
[[1], [4, 0], [0, 1, 0], [3, 0, 0, 0], [0, 0, 1, 0, 1], [5, 1, 0, 1, 0, 0]], 0.728
[[5], [5, 0], [2, 1, 1], [3, 0, 1, 1], [2, 0, 0, 1, 0], [0, 0, 1, 1, 1, 0]], 0.7286
[[1], [4, 0], [0, 1, 1], [3, 0, 0, 1], [0, 0, 0, 0, 1], [5, 0, 1, 1, 1, 1]], 0.722
[[4], [3, 0], [2, 1, 0], [1, 0, 0, 0], [3, 0, 0, 0, 1], [2, 1, 0, 1, 1, 0]], 0.7316
[[3], [5, 0], [0, 0, 0], [2, 0, 1, 1], [3, 1, 1, 0, 1], [3, 1, 0, 0, 0, 0]], 0.7352
[[1], [1, 0], [0, 1, 1], [3, 0, 0, 1], [2, 1, 0, 0, 0], [3, 0, 0, 1, 1, 0]], 0.7386
[[0], [4, 1], [3, 0, 1], [3, 0, 1, 0], [5, 1, 0, 1, 1], [0, 0, 1, 1, 0, 0]], 0.732
[[4], [4, 1], [2, 1, 0], [3, 0, 0, 1], [1, 1, 0, 1, 1], [1, 0, 0, 0, 0, 1]], 0.716
[[2], [0, 1], [4, 1, 1], [5, 1, 0, 0], [2, 0, 0, 1, 0], [1, 1, 0, 0, 1, 1]], 0.7336
[[3], [3, 1], [1, 0, 0], [2, 0, 1, 0], [2, 1, 0, 1, 1], [3, 0, 1, 0, 1, 0]], 0.7374
[[2], [2, 1], [0, 0, 0], [0, 0, 1, 1], [3, 0, 0, 1, 0], [2, 0, 1, 1, 0, 1]], 0.726
[[2], [2, 0], [5, 0, 0], [3, 1, 1, 0], [3, 1, 1, 0, 1], [2, 1, 0, 0, 0, 0]], 0.7346
[[4], [3, 1], [3, 0, 1], [3, 1, 1, 0], [4, 0, 1, 1, 0], [3, 0, 1, 1, 0, 0]], 0.737
[[1], [0, 0], [4, 0, 1], [4, 0, 1, 1], [3, 1, 0, 1, 0], [4, 1, 1, 0, 1, 1]], 0.737
